state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
TN,muni,0500000US47081,,,1010,2852,2.82376237623762,0.602711157455683,326.189432989691,604.770014567895,0,0,508.25,0.250965250965251,0.951485148514852,0.0485148514851485,0,0,1,0.520703933747412,11.0526315789474,7.39805986478,5,10,15,42093.8986083499,629791.919051685,1500,2500,3000
TN,muni,0500000US47087,,,16,53,3.3125,0.5,284,425.62491871197,0,56,480,0.25,1,0,0,0,1,0.5625,5,0,5,5,5,688.888888888889,368.932393686311,300,1000,1000
TN,muni,0500000US47089,,,1948,5881,3.01899383983573,0.510803324099723,438.755793226381,648.105599461182,0,150,720,0.169681309216193,0.844455852156058,0.155544147843943,0,0,1,0.531925849639547,13.357063403782,38.7397573595329,5,9,10,292297.904162633,1679720.62085471,600,1500,3000
TN,muni,0500000US47099,,,3696,11539,3.12202380952381,0.699052132701422,263.211768851304,468.073479723522,0,0,432.75,0.311377245508982,0.913149350649351,0.0868506493506493,0,0,1,0.429916897506925,19.5506329113924,218.38989500818,8,10,15,41039.5264175258,620621.44574121,1000,2000,3000
TN,muni,0500000US47105,,,2912,8921,3.06353021978022,0.759823723834007,311.169466403162,493.625289348351,0,80,500,0.177744953225012,0.957417582417582,0.0425824175824176,0,0,1,0.391334250343879,13.204185520362,68.8134017536522,6,8,13,238935.611599297,1522345.20001626,500,1050,2500
TN,muni,0500000US47107,,,7052,19927,2.82572319909246,0.498838109992254,378.130740037951,696.47375212696,0,0,600,0.235673624288425,0.96242200794101,0.0375779920589904,0,0,1,0.50362473347548,14.7391304347826,62.121924796103,5,8,13,81020.133784928,885415.177095603,600,1500,2500
TN,muni,0500000US47113,,,16254,43602,2.68253968253968,0.72249212184874,409.968287848757,769.088173718134,0,0,520,0.176622000151412,0.722529838808909,0.277470161191091,0,0,1,0.370640259093174,20.50295502354,151.513810422782,6,10,18,38190.5814148883,592872.217762538,1200,2250,3700
TN,muni,0500000US47115,,,2540,7560,2.97637795275591,0.552989130434783,266.564712389381,512.090248918526,0,0,360,0.0803964757709251,0.791732283464567,0.208267716535433,0,0,1,0.380007933359778,22.0064267352185,138.002730612186,5,8,11,43439.8048016702,645049.972047894,400,1000,2500
TN,muni,0500000US47117,,,4262,11583,2.71773815110277,0.828101265822785,507.333504098361,643.429187532673,0,385,740.75,0.232160804020101,0.854997653683717,0.145002346316283,0,0,1,0.366886171213547,30.6921278254092,264.655604509773,6,10,15,3989063.66282051,4896379.30314003,1800,6000,9999998
TN,muni,0500000US47119,,,11424,32126,2.81214985994398,0.71596288581708,334.474739374499,587.442210497082,0,0,520,0.252766054522642,0.709033613445378,0.290966386554622,0,0,1,0.370238519045924,21.1383161512028,154.96134065227,6,10,16,64749.1182692308,788014.460532377,500,1500,3000
TN,muni,0500000US47125,,,8019,23221,2.8957475994513,0.713620023964852,342.665465858851,650.111890335232,0,47,500,0.187640089657381,0.705324853473002,0.293552812071331,0,0.00112233445566779,1,0.393682880606443,14.3927746271792,18.0572822866936,8,10,18,37992.7435815148,593044.334460339,500,2000,4000
TN,muni,0500000US47127,,,302,756,2.50331125827815,1,577.631067961165,393.826626289207,300,500,850,0.807228915662651,0.880794701986755,0.119205298013245,0,0,1,0.536423841059603,36.8220338983051,157.721198969495,4,10,10,1657.40740740741,763.190878784802,1000,1500,2500
TN,muni,0500000US47129,,,8,36,4.5,1,,,,,,0,1,0,0,0,1,0,,,,,,,,,,
